"@115911 how much for the iPhone x with the jump? I’m not spending $200 plus on a phone 😂 sry | @116686 We'd love to provide you all the details, please DM for info! *JohnWard"
"@115714 no $350 off iPhone for existing customers? 🤔😢😭😤🤬 | @159183 Hi there. Yes, there are $350 off for existing customers. Click here https://t.co/6MLPUeNvOB for more details. -OM"
"@sprintcare We need the sprint Wego app on iPhone updated to work with iOS 11. I can’t use the app anymore, thanks | @160394 Hey Andy, thanks for reaching out to us. Please contact Apple for further information. -RW"
"Look, @115858 &amp; @115714, I'm struggling. I got this old ass iPhone 6s with 16GB. I can't even get no apps man. Hold me down with the X plz 😢 | @160400 We'd like to gather information about this matter and help. Please send us a Direct Message, so that we can further assist you. - LB"
@115911 can I return it? https://t.co/2RCZtWEe94 | @163195 What's going on with your iPhone? Send us a DM and we can check into your return options. *JPL
@115911 - if I paid off my iPhone can I upgrade? Trade in? | @163198 Thanks for reaching out! If you have a paid device you can trade it in! Send us a DM if you want to chat about upgrading! *JPL
"@VerizonSupport phone service on current iPhone  is still basically worthless in 80026.  @115714 what type of coverage do you have here? | @163240 Hey, can you also provide us with the nearest cross streets? Follow us and DM with the info. - NA"
when i bought my iphone it was unlocked and when i switched over to @115911 they locked the device to their network. so mad. | @163614 Yikes! Let's get to the bottom of this ASAP! Send me a DM for help. https://t.co/cbaCC4vqgh *MichelleWalker
"Man other carriers already have iPhone X pricing up, but still not a word from @115911 . People don’t like being left in the dark guys | @163618 We've released this info Kevin. DM us for all of the pricing details. *KaeW"
I’m already not happy with this iPhone 7 @115911 I got this phone last night and none of my apps are loading up on my screen⁉️ | @163622 Oh no! DM us and let's see what your iPhone 7 is acting this way. We're here to help. *JamieK
"@115714 how long y’all think my gold iPhone 8plus gone be on back order? I need that by Friday. 

Write Back. | @163668 Great choice of device! You can review model specific shipment info &amp; keep updated on https://t.co/RDgqxv7W9w, 4 your delivery status. -MM"
@115913 Trying to leave Verizon for TMobile...I owe Verizon needing my iPhone 7 to work on TMobile network today😔Heeellllpp!!!! | @164224 @115913 We'd love to see you on the Magenta Squad. Send a DM our way and we'll chat all things UnCarrier: https://t.co/cuEwtd2epS *DanKing
"@TMobileHelp why is there an extra $20 upgrade charge when purchasing an iPhone from you? | @165036 Hi @165036, I would be happy to assist you with your questions today. Please initiate a direct message or private message. *AbrohamVela"
@115996 plz look into @115714 scamming consumers with iPhone 4ever promo. if @115714 can't help @115911 just got a new customer. | @167666 Hey! This really concerns us. What 's going on with this promotion? Please DM us and follow us on Twitter so we can assist you. -JS
@115714 iPhone 7 Plus.... takes 8 hours to charge to 80%..... y’all want it back or??? | @167667 Hey! Thanks for reaching out to us with this. Can you shoot us a DM for us to have a chat? -DC
@115714 so tell me why my iPhone 8 plus gold looks pink | @167688 This is deeply troubling! Please send us a Private Message so that we can further assist you. -CO
@115913 someone screwing up big time @115911 sending SIM cards with Apple Watch and saying android works with Apple Watch https://t.co/z7QDP3yWeA | @169556 @115913 We're always here to help for clarification. DM us anytime! https://t.co/lH0SH5fy2m *MikeRice
@sprintcare dropped my iPhone tonight #cracked... want to order a new phone and make sure I'm getting a good deal but sprint site is down? | @169885 Our website is currently down for maintenance until 7:00 AM CT. Please DM us to assist you. -OM https://t.co/rMApsV8PQY
".@115911 So you’re telling me. If I trade in my IPhone 7 for a 7+ it’s $669. But if I buy a new one with no trade in it’s still $669 🤔 | @170387 Is your current iPhone paid off, Matt? *NaeJ"
I received a shipping notification today for my @115714 iPhone 8. I received it on the 26th of September… | @171527 Let's help. Please send us a DM and follow us so we can help. -JT
@115913 @115911 can we get some pricing details for JOD this week ?? Tired of seeing reps replying saying “soon”. | @173211 @115913 We're excited to share the iPhone X pricing as soon as we have it Corey. Thank you for your excitement and stay tuned. *EricPayne
"@115714 been waiting over 2 weeks for my refund on my iPhone 8 and still have not received it 😡 bad business like always! | @154074 Thank you for reaching out to us, I understand why this can be frustrating. We are more than willing to assist you today. -LK"
"Damn @sprintcare you guys got me mad for the first time in years my iPhone7 will answer calls from T-Mobile numbers | @173256 Hi, we want to work with you. Can you provide more information on the statement made ""iPhone7 will answer calls from T-Mobile numbers"" -CA"
"@TMobileHelp are you able to change which phone you trade in for the iphone 8 promo? online i said it was a 6s but want to change to a 6. | @173874 Hey there, I am responding to your DM now! See you there (-: *JessicaCanada"
"@115911 When are you adding Pixel 2 and Pixel XL 2 to your website? I am waiting to upgrade my iPhone. Everyone is waiting. | @174048 Hey there! I see your DM, so I will meet you back there. :) *LaurenWalker"
@115714 why on 4g LTE with two bars is it so damn slow and won’t load a single thing on my iPhone 6s Plus?!? | @174318 Sounds like something we need to look into. Shoot us a DM. -JJ
@sprintcare Thanks for sending me 8 iPhone 7s I didn’t order. Like how my 2 calls and chats to warn you were ignored. 🙄 https://t.co/IORenNKdNJ | @174321 Wow are you currently a Sprint customer? Did you ever order a device from us? Please send us a Direct Message to assist. -MC
moving to @115714 and getting an #iphone were the biggest consumer mistakes i made this year. live n learn. | @175320 Could you elaborate on why this was an mistake. -MG
"@115913 any details you can share on T-Mobile’s iPhone X preorder process/start time? | @175768 @115913 We're super excited too! Get pre-registered so you're reminded for the pre-order, here: https://t.co/rGPmP6ItT7 *DanKing"
@sprintcare any information. On how much the iPhone X will be monthly? I’d estimate about $41 a month based on how the iPhone 8 leases | @176188 We're truly excited for this amazing device!! Please stay tuned via our social media channels. There's a lot coming. - AA
"@sprintcare hi how can i see if i can upgrade my iphone 7 plus to the iphone 8 plus | @176323 Can you please send us a private message, so that I can gain further details about your account?"
@sprintcare hi how can i see if i can upgrade my iphone 7 plus to the iphone 8 plus | @176323 Hello It would be my pleasure to look into your upgrade options.
"Hey @115714 is the iPhone X not included in the iPhone Forever plan?! Really confused right now. | @176456 Great question! At this moment we are preparing great deals and all details needed, stay tuned for more information coming soon. -LC"
@sprintcare FALSE Advertising by Sprint will not honor BOGO iPhone promo have waited 5 months for credit! | @176587 Hi there! Thank you for reaching out to us. Please send us a DM so that we can take a look at your concern. -BJ https://t.co/rMApsV8PQY
"@TMobileHelp curious on the trade in offer for non iPhones. Can I keep my old phone and not send it in for the credit? | @177352 Thank you so much for reaching out to us! Shoot me a DM, I would be happy to help! https://t.co/hzjqSun5Lf *TreBrewbaker"
"@115911 can I take advantage of the $300 off iPhone promo by trading in an iPhone 6s? | @177354 That's a great question, I would love to review your account to see if you can. Please send a PM! *SheenaH"
I decide transfer @115911 after I pay off @115714 my iPhone. I can't wait for my new iPhone X :) Do I need to transfer my number to? Part 2 | @177570 Let's go with the #MagentaMove! Send us a DM and let's get you started on your Un-carrier journey. *JeremyJ
"@115913 I'm still making payments on my iPhone how can I JUMP to a Pixel XL 2? | @177571 @115913 We'll check out all options to make this happen, DM me https://t.co/Nr93OTtXRx *TaylorBest"
"Don’t upgrade your iPhone via @115911 online, worse process ever to return old phone. 😡😡😡 | @178670 That's not what we want for you! Please DM us here: https://t.co/gAmFrAsnx1 to get you squared! :) *PatrickUllmann"
Can’t wait for this iPhone X to come out so I have a reason to leave crappy @115714. | @178725 This is not how we want our valued customers to feel. What makes you think that way? We're here to help. -DP https://t.co/rMApsV8PQY
@115913 boss I cracked my iPhone screen can you hook man up with a new one | @179039 @115913 Hey Cory! A damaged device is no fun and I'd love to check out your options for replacement. Send me a DM so we can get started. Thank you! https://t.co/3sF8qpf2nx *AlissaFast
"@115913 after months of waiting and hours on the phone with customer service, found out my wife’s phone rebate was mysteriously rejected with no solution. Can you please help? #tmobile #iphone6 | @179050 @115913 Hi! Those rebates are important and I'd love to get to work on this for you. Please send me a DM so we can chat. Thank you! https://t.co/3sF8qpf2nx *AlissaFast"
"hey @TMobileHelp ! will JOD customers have to pay a deposit on a iPhone X? | @179110 We don't have confirmed JOD pricing yet, but stay tuned! Make sure you pre-register here: https://t.co/laOidw4foB :D *AbigailRoach"
"@115911 Preordered the iPhone8+ on preorder day. Still didnt get it. Called the shipping carrier &amp; T-Mobile customer care, no progress. | @179863 Jimmy, we know you need your new phone! Send us a DM so we can do some work &amp; see where it's at. *TerriL"
@115913-got three defective replacement iPhones in a row! Cmon T-mobile 🤦🏽‍♀️But a shoutout to the T-Mobile Brooklyn Heights crew! | @179929 @115913 We love the shout out and we want a working phone in your hands fast. Please DM us. https://t.co/lH0SH5fy2m *MikeRice
